Annees,Nb_sanglier_preleves,Montant_indemnisations,Consommation_viande_porc,Nb_permis_chasse
2000,380518,21000000,35111,1425136
2001,401338,26000000,35564,1407874
2002,442466,24000000,36373,1394341
2003,475713,23500000,36691,1374183
2004,443578,21588412,36542,1358999
2005,446597,22500000,36354,1360984
2006,466352,27000000,36702,1349489
2007,522174,24000000,38147,1343926
2008,569437,30000000,37550,1333921
2009,491762,42500000,37382,1326100
2010,551035,43000000,37482,1316764
2011,526709,32500000,37058,1224695
2012,599749,39000000,36801,1207715
2013,550619,29700000,37084,1186040
2014,585587,19700000,37596,1171337
2015,666933,22000000,39251,1159928
